订单ID,商品ID,交易单价,数量,交易时间,卖家ID,买家ID
T001,M001,10,2,2022-03-12,U001,U002
T002,M003,9.9,1,2022-03-18,U003,U002
T003,M003,9.9,1,2022-03-18,U003,U002
T004,M001,10,0,2022-03-22,U001,U003
T005,M001,10,0,2022-03-22,U001,U003
T006,M001,10,0,2022-03-22,U001,U003
T007,M001,10,0,2022-03-22,U001,U003
T008,M001,10,0,2022-03-22,U001,U003
T009,M001,10,0,2022-03-22,U001,U003
T010,M001,10,0,2022-03-22,U001,U003
T011,M001,10,1,2022-03-22,U001,U003
T012,M001,10,1,2022-03-22,U001,U003
T013,M001,10,1,2022-03-22,U001,U003
T014,M001,10,1,2022-03-22,U001,U003
T015,M001,10,1,2022-03-22,U001,U003
T016,M002,10,1,2022-03-23,U003,U003
T017,M002,10,1,2022-03-23,U003,U003
T018,M002,10,1,2022-03-23,U003,U003
T019,M001,10,1,2022-03-23,U001,U003
T020,M001,10,1,2022-03-23,U001,U003
T021,M001,10,1,2022-03-23,U001,U003
T022,M001,10,1,2022-03-23,U001,U003
T023,M001,10,1,2022-03-23,U001,U003
T024,M001,10,1,2022-03-23,U001,U003
T025,M001,10,1,2022-03-23,U001,U003
T026,M001,10,1,2022-03-23,U001,U003
T027,M001,10,1,2022-03-23,U001,U003
T028,M001,10,1,2022-03-23,U001,U003
T029,M001,10,1,2022-03-23,U001,U003
T030,M001,10,1,2022-03-26,U001,U003
T031,M003,9.9,1,2022-03-27,U003,U005
T032,M001,10,1,2022-03-30,U001,U003
T033,M001,10,1,2022-03-30,U001,U003
T034,M001,10,1,2022-03-30,U001,U003
